XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6658131.45228814,526812.42290865,1,0.801135,-1.653451,-0.092570,-0.805806,-0.322061,-0.276350,-1.264726,-2.144931,-0.837092,-1.863208,-0.587686,0.002818,0.004427,-0.005302,-0.004638,0.027923,-0.021319,0.018547,-0.032220,0.003322,-0.056134
6674236.30098389,526868.97102389,2,0.840635,0.065492,0.938286,1.185636,0.357333,1.893168,0.195625,0.757155,-0.266842,1.022388,1.078187,0.007057,0.011052,-0.012967,-0.011389,0.070667,-0.055079,0.049505,-0.079264,0.008334,-0.140371
6808441.64280888,527679.06421998,3,0.215190,2.980077,-0.758041,-0.197454,2.462165,0.544268,0.156326,0.334570,0.742689,-0.728029,-2.200222,0.044753,0.062582,-0.027441,-0.033991,0.466767,-0.435402,0.461477,-0.193716,0.025560,-0.317146
6813809.77052405,527724.05395940,4,-0.743097,0.708474,0.725069,0.136991,-0.060428,-0.554986,-0.531605,-1.437657,-0.851110,-0.038180,-1.605922,0.046401,0.064407,-0.025541,-0.033280,0.480475,-0.448246,0.473184,-0.185255,0.024635,-0.296405
6829914.10314472,527864.83222115,5,1.008398,0.666759,0.092251,-1.445177,-0.836485,0.631966,0.355320,-0.730637,-0.089828,-0.886087,-1.041635,0.051430,0.069728,-0.018651,-0.030429,0.518268,-0.481961,0.500505,-0.155869,0.021283,-0.229210
6835282.19673923,527913.69432814,6,0.138914,0.416671,0.058383,0.773126,1.482062,0.878531,0.314801,0.395150,1.661235,1.006481,0.089245,0.053135,0.071449,-0.015966,-0.029248,0.529629,-0.491419,0.506814,-0.145024,0.020013,-0.206161
6974848.99667330,529523.92535965,7,-0.411525,1.822364,0.563027,-0.319277,-0.969565,-0.097356,0.504866,0.500222,0.726419,1.212972,0.510966,0.102944,0.105052,0.105455,0.026943,0.535164,-0.368777,0.211590,0.006533,-0.001893,0.098567
7007055.54118396,529988.45461431,8,-1.589130,-3.250559,-2.861048,-1.498220,-0.759936,-0.947451,-1.451869,-1.020454,-0.736400,-1.989149,-1.588535,0.115995,0.109321,0.140914,0.041387,0.460510,-0.266893,0.087276,-0.016718,-0.005084,0.201541
7066099.49133730,530930.60561715,9,0.441933,0.439368,0.548185,-1.156290,-0.504997,0.313898,0.628911,0.741126,0.683961,-0.030387,0.830839,0.141384,0.113438,0.203513,0.062197,0.289850,-0.080540,-0.130225,0.017106,-0.011807,0.323253
7076834.54860730,531114.49041998,10,0.238527,-0.043996,-1.224957,0.542309,0.104629,0.480579,-0.995952,-0.867919,-0.288111,-1.824157,-0.483286,0.146194,0.113666,0.213975,0.064821,0.257917,-0.049709,-0.171054,0.035596,-0.012653,0.322471
7082202.05197988,531207.88491823,11,-1.241108,-0.705385,0.195107,-0.439182,-0.734820,0.723290,-0.664503,1.022383,0.016448,0.528007,-1.895657,0.148619,0.113721,0.219053,0.065973,0.242158,-0.034633,-0.191544,0.045858,-0.012994,0.318978
7221750.69020489,533975.91022205,12,-0.951692,-0.904661,-0.890758,-0.394936,-0.042573,-0.635874,0.597477,0.929764,-1.641339,0.554344,0.558532,0.215927,0.101870,0.297205,0.052215,-0.075532,0.429835,-0.481490,0.225109,-0.002825,-0.117398
7259319.12523846,534832.94754998,13,-1.204320,1.100259,0.666059,-0.449287,0.600305,0.892456,-1.284188,0.179201,-0.946946,-2.139656,-0.990134,0.235114,0.094776,0.295630,0.034599,-0.166316,0.545971,-0.414271,0.165388,0.000653,-0.114063
7323719.53679173,536412.49557197,14,1.707075,0.268931,0.509505,1.718418,-0.558631,0.851280,1.654975,0.535019,1.702689,0.775047,-0.563960,0.268559,0.079663,0.268150,-0.003307,-0.351626,0.625967,-0.209500,-0.016561,-0.086379,0.111601
7350552.00510830,537111.77501331,15,-1.988797,-1.065511,-0.511650,0.339364,-0.598949,1.047431,-2.482480,-1.138498,-2.232675,1.934191,-1.091664,0.282591,0.072500,0.247855,-0.019594,-0.427975,0.603743,-0.126168,-0.096802,-0.157496,0.199991
7431045.47502655,539354.78693148,16,-0.044078,-2.007626,0.195119,0.115837,-1.146142,0.530359,0.451877,-1.040720,-0.164532,-0.372585,-0.033730,0.324480,0.049213,0.160575,-0.059670,-0.584215,0.377978,0.024527,-0.234919,-0.279716,0.108239
7441777.46963863,539670.30762589,17,-0.235444,-0.019050,0.476135,0.138728,1.764151,0.215682,-0.253039,0.369224,0.278166,0.096037,1.200908,0.329999,0.046011,0.146495,-0.063429,-0.592453,0.337810,0.042624,-0.235219,-0.273057,0.055924
