XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6690341.11654322,526934.23303248,1,-0.136624,0.298516,-0.877712,-0.950332,-0.318284,0.495126,-1.042379,-1.548401,-0.684765,0.087458,0.342929,0.011324,0.017638,-0.019942,-0.017652,0.115159,-0.092481,0.086755,-0.122886,0.013288,-0.222030
6738655.31879914,527182.29946548,2,1.784524,-0.726761,-0.440228,-0.854811,0.540487,1.098043,-1.458741,1.221934,-0.492690,-0.329917,-0.388528,0.024441,0.036928,-0.033749,-0.031501,0.259747,-0.228689,0.237714,-0.213603,0.025343,-0.398441
6765496.34877838,527353.99958140,3,-1.508531,0.662384,-0.799038,1.195406,0.356618,0.455899,2.425328,-1.517699,0.719765,-0.632702,1.160449,0.032026,0.047177,-0.035331,-0.035069,0.343116,-0.312751,0.333118,-0.227875,0.028274,-0.417064
6797705.36408463,527591.98926289,4,-2.170214,0.308559,-0.687184,-0.214642,-0.225845,0.302636,1.736943,-1.463942,0.184857,-2.036827,-0.751292,0.041496,0.058862,-0.030637,-0.035036,0.437929,-0.407658,0.434605,-0.208179,0.027058,-0.354446
6813809.77052405,527724.05395940,5,-0.743097,0.708474,0.725069,0.136991,-0.060428,-0.554986,-0.531605,-1.437657,-0.851110,-0.038180,-1.605922,0.046401,0.064407,-0.025541,-0.033280,0.480475,-0.448246,0.473184,-0.185255,0.024635,-0.296405
6872858.59304297,528282.83827490,6,0.830969,0.919368,0.942325,-0.053835,1.968059,0.943386,0.493216,-0.283760,0.132072,0.618264,1.576249,0.065485,0.082698,0.007891,-0.018112,0.588515,-0.528658,0.508508,-0.064415,0.010444,-0.065875
6888962.61464064,528455.56463547,7,-0.495274,-0.665065,0.100544,0.577148,-0.905628,-1.290039,-0.080265,-0.268420,-0.164734,-1.317390,0.040736,0.071011,0.087060,0.020582,-0.012035,0.601334,-0.527851,0.486527,-0.033021,0.006775,-0.029028
6894330.60095188,528515.07632747,8,0.680631,0.632741,-0.180318,0.169588,1.267248,1.499593,0.274451,0.050379,1.374019,1.145554,-0.295070,0.072884,0.088449,0.025102,-0.009869,0.603826,-0.525294,0.476381,-0.023710,0.005703,-0.020478
6910434.49361281,528699.42011890,9,0.263573,-0.374301,0.801893,-2.140839,-0.962883,-0.245856,0.185425,-0.435222,-0.489345,-1.961971,-0.521305,0.078602,0.092413,0.039451,-0.003026,0.605853,-0.510912,0.438296,-0.000436,0.003048,-0.003784
6915802.43563281,528762.80450656,10,-0.595397,-0.646015,-0.271857,1.409534,0.581715,0.654571,-1.104186,-3.392546,1.720891,-1.634549,-2.646369,0.080540,0.093666,0.044475,-0.000647,0.604706,-0.503952,0.423292,0.005537,0.002361,0.000000
