XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6883594.61783072,528397.02111739,1,-0.732753,-0.356057,-0.971821,0.627858,0.221416,-0.790182,1.474063,1.752567,1.061277,0.224379,0.585269,0.069153,0.085638,0.016202,-0.014134,0.597944,-0.529267,0.495295,-0.042971,0.007929,-0.039409
6937274.08560281,529026.02215597,2,-0.608824,-0.426871,0.475173,-0.047127,-0.614576,-0.558379,-1.182731,-0.615479,-0.089631,-0.904825,-0.226101,0.088457,0.098322,0.065602,0.009215,0.591136,-0.466130,0.353992,0.019290,0.000485,0.019027
6964113.37247530,529376.82690056,3,-0.122218,-0.160936,0.804602,-0.594094,-0.322299,-0.222235,0.522845,0.953018,-1.102832,-2.225194,-0.370813,0.098723,0.103318,0.093803,0.021901,0.555009,-0.399807,0.253590,0.013991,-0.001107,0.069385
7076834.54860730,531114.49041998,4,0.238527,-0.043996,-1.224957,0.542309,0.104629,0.480579,-0.995952,-0.867919,-0.288111,-1.824157,-0.483286,0.146194,0.113666,0.213975,0.064821,0.257917,-0.049709,-0.171054,0.035596,-0.012653,0.322471
7109039.31228164,531689.37772164,5,-0.158409,-0.228871,-1.149683,-0.235942,-0.726276,-1.318031,0.496673,0.505584,1.077470,-0.836135,0.193632,0.160953,0.113401,0.242666,0.070009,0.166886,0.039756,-0.292049,0.103431,-0.013753,0.272439
7141243.43520921,532299.11337881,6,0.437829,-0.206404,-0.121953,2.098443,2.422623,1.225241,1.761608,2.566226,0.882031,0.324514,-0.017725,0.176175,0.111738,0.266350,0.070767,0.087541,0.137698,-0.397151,0.172389,-0.012468,0.168009
7350552.00510830,537111.77501331,7,-1.988797,-1.065511,-0.511650,0.339364,-0.598949,1.047431,-2.482480,-1.138498,-2.232675,1.934191,-1.091664,0.282591,0.072500,0.247855,-0.019594,-0.427975,0.603743,-0.126168,-0.096802,-0.157496,0.199991
7447143.42412980,539829.51957782,8,0.596807,1.299321,0.167676,0.848638,-0.038096,0.113271,0.649441,-0.220008,0.536398,0.003372,0.240151,0.332749,0.044408,0.139286,-0.065138,-0.595258,0.317538,0.052742,-0.233628,-0.267432,0.028201
7457875.24682622,540150.84669106,9,0.742661,-1.968601,-2.132280,-0.883617,-1.416631,-1.612975,-0.593600,-1.978082,-1.495470,-1.407858,-0.488376,0.338230,0.041207,0.124559,-0.068204,-0.598194,0.276999,0.075409,-0.227081,-0.251788,-0.028282
7484704.28962472,540971.09997182,10,0.040225,1.251588,0.248598,0.860154,0.596675,-0.721038,0.034358,0.246736,0.059724,0.884847,-0.962243,0.351802,0.033264,0.086204,-0.073741,-0.589838,0.178798,0.146417,-0.193102,-0.190260,-0.167438
7506166.98456013,541644.72132798,11,-1.381187,-0.141192,0.156030,0.290216,2.701698,0.918295,0.284336,0.758683,-0.242842,-1.144755,1.715910,0.362501,0.027030,0.054334,-0.075921,-0.567427,0.106657,0.214985,-0.152093,-0.124185,-0.267068
7511532.58209664,541815.54611756,12,-0.149032,-0.673274,0.516544,-0.154418,0.766367,0.154238,1.337744,0.157831,-1.216919,1.083172,1.590817,0.365151,0.025496,0.046253,-0.076151,-0.559762,0.089698,0.233085,-0.140621,-0.106220,-0.288731
7575917.29092538,543940.91883531,13,-2.625960,-0.770668,-0.481102,0.301256,0.343067,1.303696,2.503831,-0.788059,0.606359,-0.353337,2.295194,0.396027,0.008219,-0.052547,-0.069551,-0.415770,-0.097838,0.432075,-0.010165,0.106557,-0.376888
7597377.81952655,544680.34091289,14,-1.769264,-0.355755,-0.541117,-1.881374,-0.180483,0.770594,0.576509,-0.032416,-0.805992,-0.857224,0.816683,0.405879,0.003078,-0.087264,-0.063886,-0.353176,-0.160646,0.472071,0.012856,0.143873,-0.328304
6733250.66228564,533469.68354423,15,-1.205472,-0.041947,1.266223,1.978281,2.565491,0.081292,-0.041533,-0.270380,0.516937,0.522015,0.678583,0.020501,0.029652,-0.040875,-0.019713,0.245790,-0.200018,0.235298,-0.190779,0.042189,-0.378548
6743984.82520047,533533.50920397,16,-1.238916,0.172864,1.438255,-1.000306,1.049564,0.123170,-0.200500,-1.074159,0.142502,0.588435,0.246475,0.023486,0.033841,-0.042440,-0.021921,0.279250,-0.233659,0.272885,-0.201896,0.041546,-0.397706
6754718.96449330,533601.20690323,17,-0.020792,0.876512,0.781656,-0.311521,0.536920,0.422529,0.535918,0.127529,2.340805,0.067436,-0.885338,0.026510,0.037971,-0.043250,-0.023654,0.312799,-0.267848,0.310842,-0.208489,0.040084,-0.406278
6803022.26060306,533953.75967582,18,0.064009,0.489056,-0.409389,-1.280972,-0.343957,-0.972228,-1.089680,0.108886,-0.231679,-0.934759,0.674365,0.040669,0.055669,-0.036961,-0.025376,0.456130,-0.413595,0.461584,-0.182748,0.024174,-0.317179
7194781.01612598,539710.27342522,19,0.185967,-1.598290,1.116645,-0.447212,-0.406642,-0.778835,1.214209,-0.816034,-0.041240,-0.464887,0.319299,0.200106,0.104385,0.287952,0.051754,-0.010890,0.324239,-0.492840,0.251540,-0.031948,-0.060032
7205512.89853355,539940.57316148,20,0.120377,-0.295967,0.410012,-0.441184,1.230264,0.626387,0.467951,1.487068,1.989715,0.347866,-0.443311,0.205482,0.102976,0.290823,0.048152,-0.032083,0.364747,-0.495590,0.251034,-0.030498,-0.096644
6781507.51196598,540106.01968098,21,1.609314,-0.149180,1.796687,-0.642093,-0.276943,-0.121485,-0.577005,0.122184,-2.187340,-0.436020,-0.727675,0.031806,0.042892,-0.049679,-0.016041,0.398163,-0.342347,0.415397,-0.186716,0.037153,-0.365180
6802971.01464255,540272.35399398,22,-0.055863,-0.891014,-1.700248,-0.100983,0.379880,-0.539944,-0.413676,0.880711,-0.702669,0.734151,0.801048,0.038220,0.050610,-0.044762,-0.016179,0.459655,-0.405292,0.474420,-0.163863,0.021554,-0.298283
6829800.21459296,540502.04579180,23,-0.778725,-0.691213,-1.548130,-1.333053,0.194228,-0.151900,0.812169,-0.470999,0.058301,-0.073024,-0.279952,0.046536,0.059761,-0.034025,-0.013895,0.526361,-0.469670,0.522831,-0.116517,0.000015,-0.183107
6856629.19636796,540755.93078272,24,1.832494,1.422355,-0.070559,-0.533642,-0.886932,1.038720,-0.107226,1.359648,0.985666,0.366226,-0.173491,0.055212,0.068289,-0.018444,-0.009168,0.577246,-0.511598,0.535758,-0.057872,-0.020590,-0.067130
7098076.62128055,544129.54969165,25,-0.707887,-0.961710,-0.573163,0.372152,1.365169,0.092849,1.298278,1.631174,-0.673544,0.452493,0.783356,0.151214,0.107852,0.223446,0.055941,0.215229,-0.006684,-0.246688,0.120781,-0.065184,0.277011
7157092.33822264,545252.24528089,26,-0.162779,-1.657052,-1.144612,-0.916961,1.244859,0.465708,-0.989318,-1.808161,0.167449,-1.762499,-0.287036,0.179235,0.106105,0.267244,0.051805,0.072327,0.176760,-0.439182,0.237475,-0.062540,0.069600
7221470.43978114,546610.52930973,27,0.011386,1.434180,0.857234,0.742997,0.565037,0.695159,-0.733730,0.047833,1.644734,1.715765,-0.844091,0.211289,0.099374,0.289912,0.031588,-0.056006,0.417721,-0.495859,0.257981,-0.054291,-0.153455
7248293.75391655,547217.60158640,28,1.219373,-0.907965,0.698416,0.443437,-1.906661,0.180947,-0.385524,-1.694510,-0.336425,0.029128,-0.222972,0.224996,0.095235,0.290412,0.018854,-0.119178,0.507165,-0.459667,0.219241,-0.050891,-0.162330
7269752.00430705,547720.67439914,29,0.966889,0.225148,0.804376,0.597328,-0.206723,0.476949,0.503349,0.078052,1.871684,0.446654,-0.991873,0.236074,0.091422,0.286846,0.007250,-0.176165,0.564272,-0.409647,0.171184,-0.053360,-0.119396
7360945.32224813,550031.42797972,30,0.408152,0.218228,0.308850,1.598048,0.103703,0.602451,-0.176091,0.782209,-1.000887,-0.139169,0.326028,0.283766,0.071191,0.233296,-0.047439,-0.439247,0.590537,-0.133392,-0.096628,-0.210838,0.213713
