XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6647394.87074298,526779.56503473,1,0.465285,0.863976,0.915065,0.339626,2.283537,0.660991,1.609764,1.111250,1.169805,1.143833,0.545561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6652763.16282789,526795.50988473,2,1.086302,0.926959,0.160690,0.375367,-0.002343,1.394668,0.222923,-0.650450,-0.376955,0.494281,0.240929,0.001409,0.002214,-0.002660,-0.002325,0.013934,-0.010601,0.009170,-0.016146,0.001659,-0.028043
6658131.45228814,526812.42290865,3,0.801135,-1.653451,-0.092570,-0.805806,-0.322061,-0.276350,-1.264726,-2.144931,-0.837092,-1.863208,-0.587686,0.002818,0.004427,-0.005302,-0.004638,0.027923,-0.021319,0.018547,-0.032220,0.003322,-0.056134
6663499.73846756,526830.30410647,4,-0.702433,0.512760,-1.143448,-1.656673,-0.319515,0.349289,-0.991211,0.185822,0.827769,1.379203,-0.496800,0.004229,0.006638,-0.007911,-0.006926,0.042017,-0.032252,0.028306,-0.048150,0.004990,-0.084267
6674236.30098389,526868.97102389,5,0.840635,0.065492,0.938286,1.185636,0.357333,1.893168,0.195625,0.757155,-0.266842,1.022388,1.078187,0.007057,0.011052,-0.012967,-0.011389,0.070667,-0.055079,0.049505,-0.079264,0.008334,-0.140371
6684972.84873646,526911.51063697,6,-0.565743,0.572901,-0.246174,1.062194,2.260267,1.179822,1.133295,0.267113,1.608493,2.463503,0.898097,0.009898,0.015449,-0.017715,-0.015633,0.100106,-0.079548,0.073545,-0.108857,0.011655,-0.195378
6690341.11654322,526934.23303248,7,-0.136624,0.298516,-0.877712,-0.950332,-0.318284,0.495126,-1.042379,-1.548401,-0.684765,0.087458,0.342929,0.011324,0.017638,-0.019942,-0.017652,0.115159,-0.092481,0.086755,-0.122886,0.013288,-0.222030
6722550.63020806,527090.89708923,8,0.029096,0.512989,0.922972,1.365611,1.471483,1.301786,1.136165,0.557489,0.003034,1.851756,-0.515915,0.020002,0.030599,-0.030570,-0.027862,0.210064,-0.179897,0.182163,-0.191740,0.022077,-0.356638
6727918.86487839,527120.39637406,9,0.165620,-1.183921,-2.407496,-0.803220,-1.353935,-2.007833,-1.642004,-1.295138,0.130961,-1.495147,-1.924434,0.021473,0.032721,-0.031804,-0.029194,0.226516,-0.195883,0.200288,-0.200074,0.023273,-0.372884
6733287.09462747,527150.86383282,10,0.061969,-1.272040,1.023764,-0.442096,-0.218016,0.979579,0.653664,-0.705385,0.332979,1.442677,-1.740999,0.022953,0.034831,-0.032866,-0.030408,0.243088,-0.212165,0.218838,-0.207374,0.024365,-0.386866
6744023.53673722,527214.70294398,11,-0.033647,-0.555454,0.122356,0.659846,1.016659,-0.312851,0.868686,0.413251,-0.200547,1.153560,-0.036353,0.025938,0.039010,-0.034449,-0.032471,0.276461,-0.245396,0.256809,-0.218730,0.026199,-0.407489
6754759.95522498,527282.41507889,12,-0.576953,-0.714566,-1.154033,-1.207811,0.957226,-0.658226,-1.153126,0.774653,0.362054,-0.388725,-0.494010,0.028961,0.043127,-0.035281,-0.034029,0.309907,-0.279103,0.295210,-0.225594,0.027516,-0.417676
6765496.34877838,527353.99958140,13,-1.508531,0.662384,-0.799038,1.195406,0.356618,0.455899,2.425328,-1.517699,0.719765,-0.632702,1.160449,0.032026,0.047177,-0.035331,-0.035069,0.343116,-0.312751,0.333118,-0.227875,0.028274,-0.417064
6781600.88841964,527468.63780355,14,-0.669301,0.420492,1.268794,-0.370899,1.679990,-1.676841,-0.090790,0.434973,1.750405,-0.746015,-0.382094,0.036707,0.053112,-0.033902,-0.035643,0.391751,-0.361874,0.387003,-0.222809,0.028314,-0.396354
6792337.21307555,527549.90404522,15,-0.204065,-0.396814,0.853841,-0.112524,0.770496,0.202684,1.166383,-0.836001,-1.865059,-0.292351,0.356109,0.039887,0.056967,-0.031930,-0.035368,0.422882,-0.392885,0.419614,-0.214052,0.027615,-0.370504
6803073.50754781,527635.04265448,16,0.317794,-1.900520,-0.580795,-2.220963,-1.420211,-0.820162,-0.336359,-0.202284,-0.214722,-0.005419,-1.783507,0.043118,0.060734,-0.029141,-0.034577,0.452571,-0.421852,0.448590,-0.201380,0.026371,-0.336580
6808441.64280888,527679.06421998,17,0.215190,2.980077,-0.758041,-0.197454,2.462165,0.544268,0.156326,0.334570,0.742689,-0.728029,-2.200222,0.044753,0.062582,-0.027441,-0.033991,0.466767,-0.435402,0.461477,-0.193716,0.025560,-0.317146
6813809.77052405,527724.05395940,18,-0.743097,0.708474,0.725069,0.136991,-0.060428,-0.554986,-0.531605,-1.437657,-0.851110,-0.038180,-1.605922,0.046401,0.064407,-0.025541,-0.033280,0.480475,-0.448246,0.473184,-0.185255,0.024635,-0.296405
